,date,steps,distance,runDistance,calories
630,2018-01-17,14913,10478,602,338
631,2018-01-18,15633,12000,9060,481
632,2018-01-19,4720,3594,237,141
633,2018-01-20,4565,3327,187,120
634,2018-01-21,1252,818,136,32
635,2018-01-22,26510,19851,761,698
636,2018-01-23,643,416,117,21
637,2018-01-24,4145,3187,273,125
638,2018-01-25,17040,11521,832,373
639,2018-01-26,13753,10121,436,350
640,2018-01-27,0,0,0,0
641,2018-01-28,5818,4566,109,158
642,2018-01-29,7103,4862,301,161
643,2018-01-30,9921,7326,1359,267
644,2018-01-31,526,349,22,12
645,2018-02-01,7936,5522,558,192
646,2018-02-02,9995,7652,175,267
647,2018-02-03,5645,4047,404,154
648,2018-02-04,20200,14575,11019,587
649,2018-02-05,10575,7929,311,403
650,2018-02-06,9858,6853,5366,346
651,2018-02-07,18272,12947,793,439
652,2018-02-08,6934,4953,399,167
653,2018-02-09,24,16,15,1
654,2018-02-10,2731,2032,55,68
655,2018-02-11,620,401,166,26
656,2018-02-12,2164,1495,119,53
657,2018-02-13,2464,1744,238,66
658,2018-02-14,9380,7335,331,284
659,2018-02-15,1244,804,0,102
660,2018-02-16,2379,1679,114,66
661,2018-02-17,1374,957,104,38
662,2018-02-18,1824,1254,132,46
663,2018-02-19,3583,2440,1940,150
664,2018-02-20,10917,7834,891,265
665,2018-02-21,16878,12535,574,445
666,2018-02-22,11668,8231,0,482
667,2018-02-23,2378,1738,126,66
668,2018-02-24,3678,2575,256,97
669,2018-02-25,553,357,290,41
670,2018-02-26,10289,7463,5809,336
671,2018-02-27,23826,16986,373,543
672,2018-02-28,5789,4554,33,154
673,2018-03-01,15295,11102,408,369
674,2018-03-02,9108,6945,230,666
675,2018-03-03,7398,5177,4100,257
676,2018-03-04,8212,5632,504,188
677,2018-03-05,18676,14266,469,503
678,2018-03-06,3766,2623,0,104
679,2018-03-07,5347,4064,0,130
680,2018-03-08,0,0,0,0
681,2018-03-09,9830,6735,5400,330
682,2018-03-10,11046,7994,381,278
683,2018-03-11,2500,1643,68,178
684,2018-03-12,4060,3040,170,118
685,2018-03-13,6798,4537,498,153
686,2018-03-14,6583,4364,363,147
687,2018-03-15,12303,8881,2142,298
688,2018-03-16,26122,18349,293,576
689,2018-03-17,2240,1451,211,65
690,2018-03-18,12470,9612,204,341
691,2018-03-19,587,379,85,21
692,2018-03-20,3726,2671,189,107
693,2018-03-21,4452,2982,441,111
694,2018-03-22,9241,6797,426,252
695,2018-03-23,659,426,350,56
696,2018-03-24,12578,9722,149,332
697,2018-03-25,1220,789,115,28
698,2018-03-26,3623,2451,253,104
699,2018-03-27,9955,6985,708,238
700,2018-03-28,16906,12227,2966,422
701,2018-03-29,10004,7330,0,426
702,2018-03-30,7666,5442,260,190
703,2018-03-31,12046,8767,6535,360
704,2018-04-01,5988,5016,2621,246
705,2018-04-02,6238,4450,459,163
706,2018-04-03,0,0,0,0
707,2018-04-04,37323,28234,314,942
708,2018-04-05,7819,5936,187,202
709,2018-04-06,7070,5415,149,189
710,2018-04-07,4262,3279,170,128
711,2018-04-08,1472,1012,143,47
712,2018-04-09,17713,11524,46,339
713,2018-04-10,9018,6647,376,222
714,2018-04-11,9518,7071,0,456
715,2018-04-12,18298,13070,603,434
716,2018-04-13,7441,5477,522,193
717,2018-04-14,9857,7345,137,261
718,2018-04-15,7266,5495,353,200
719,2018-04-16,26044,18875,642,1055
720,2018-04-17,9581,7282,308,274
721,2018-04-18,12083,8972,282,313
722,2018-04-19,14,9,9,1
723,2018-04-20,7812,5328,393,182
724,2018-04-21,5582,4440,2143,215
725,2018-04-22,29305,22183,16669,945
726,2018-04-23,9012,6167,538,207
727,2018-04-24,12367,8560,110,614
728,2018-04-25,9377,6616,1113,240
729,2018-04-26,5696,4955,3810,269
